Depth,Name,Statistic,#Cells
,Specimen_001_APAP_Ly6G_1_006.fcs,,200000
> ,CD45+Dump-,61.2,122377
> > ,Single Cells,92.5,113197
> > > ,lymphocytes,86,97321
> > > ,main_population,99.3,112431
> ,lymphocytes,75.7,151486
> > ,Single Cells,99.1,150163
> > > ,CD45+Dump-,65.2,97935
> > > > ,NK,10.8,10616
> > > > ,Others,88,86154
> > > > > ,B,34.9,30091
> > > > > ,CD3+B220-,27.9,24037
> > > > > > ,CD4+T,48.4,11637
> > > > > > ,CD4-CD8-,7.43,1787
> > > > > > ,CD8+T,43.2,10379
,Specimen_001_APAP_Ly6G_2_007.fcs,,200000
> ,CD45+Dump-,64.8,129608
> > ,Single Cells,93.2,120841
> > > ,lymphocytes,75.5,91245
> > > ,main_population,99,119637
> ,lymphocytes,59.6,119284
> > ,Single Cells,99,118147
> > > ,CD45+Dump-,82.4,97356
> > > > ,NK,15.9,15527
> > > > ,Others,81.4,79270
> > > > > ,B,15.1,11966
> > > > > ,CD3+B220-,4.56,3615
> > > > > > ,CD4+T,45.4,1643
> > > > > > ,CD4-CD8-,11.7,423
> > > > > > ,CD8+T,36.7,1326
,Specimen_001_APAP_Ly6G_3_008.fcs,,200000
> ,CD45+Dump-,56.1,112116
> > ,Single Cells,90.5,101507
> > > ,lymphocytes,76.7,77838
> > > ,main_population,98.8,100274
> ,lymphocytes,60.4,120879
> > ,Single Cells,99.1,119765
> > > ,CD45+Dump-,65.7,78676
> > > > ,NK,9.3,7314
> > > > ,Others,89,70036
> > > > > ,B,24.4,17082
> > > > > ,CD3+B220-,23.6,16541
> > > > > > ,CD4+T,49.9,8251
> > > > > > ,CD4-CD8-,11.3,1866
> > > > > > ,CD8+T,37.4,6182
,Specimen_001_APAP_1_003.fcs,,200000
> ,CD45+Dump-,34.6,69195
> > ,Single Cells,94.9,65685
> > > ,lymphocytes,81.8,53733
> > > ,main_population,99.2,65145
> ,lymphocytes,75.1,150270
> > ,Single Cells,99.6,149603
> > > ,CD45+Dump-,36.2,54199
> > > > ,NK,9.14,4955
> > > > ,Others,88.7,48083
> > > > > ,B,25.4,12236
> > > > > ,CD3+B220-,23.2,11140
> > > > > > ,CD4+T,47.3,5265
> > > > > > ,CD4-CD8-,12.2,1364
> > > > > > ,CD8+T,39.6,4409
,Specimen_001_APAP_2_004.fcs,,200000
> ,CD45+Dump-,29.2,58475
> > ,Single Cells,95,55546
> > > ,lymphocytes,85,47193
> > > ,main_population,99.2,55090
> ,lymphocytes,74.9,149795
> > ,Single Cells,99.3,148796
> > > ,CD45+Dump-,31.9,47403
> > > > ,NK,7.82,3709
> > > > ,Others,90.5,42900
> > > > > ,B,27.4,11741
> > > > > ,CD3+B220-,25.6,10994
> > > > > > ,CD4+T,51.4,5652
> > > > > > ,CD4-CD8-,8.87,975
> > > > > > ,CD8+T,38.7,4259
,Specimen_001_APAP_3_005.fcs,,1000000
> ,CD45+Dump-,14.1,140576
> > ,Single Cells,93.7,131663
> > > ,lymphocytes,80.5,106052
> > > ,main_population,99.3,130694
> ,lymphocytes,75.1,751405
> > ,Single Cells,99.7,748883
> > > ,CD45+Dump-,14.1,105520
> > > > ,NK,3.63,3830
> > > > ,Others,95.8,101058
> > > > > ,B,10.2,10356
> > > > > ,CD3+B220-,13.9,14011
> > > > > > ,CD4+T,53.1,7433
> > > > > > ,CD4-CD8-,13.6,1910
> > > > > > ,CD8+T,32.6,4568
,Specimen_001_Ctrl_1_001.fcs,,200000
> ,CD45+Dump-,50.8,101504
> > ,Single Cells,98,99506
> > > ,lymphocytes,83.6,83224
> > > ,main_population,99,98533
> ,lymphocytes,63.4,126824
> > ,Single Cells,99.5,126129
> > > ,CD45+Dump-,66.9,84406
> > > > ,NK,7.39,6237
> > > > ,Others,90.7,76584
> > > > > ,B,34.2,26175
> > > > > ,CD3+B220-,25.7,19699
> > > > > > ,CD4+T,53.5,10543
> > > > > > ,CD4-CD8-,14.6,2867
> > > > > > ,CD8+T,30.6,6036
,Specimen_001_Ctrl_2_002.fcs,,200000
> ,CD45+Dump-,33.1,66245
> > ,Single Cells,98.1,64994
> > > ,lymphocytes,90.6,58870
> > > ,main_population,99.4,64580
> ,lymphocytes,61.5,123041
> > ,Single Cells,99.6,122489
> > > ,CD45+Dump-,48.8,59798
> > > > ,NK,7.3,4363
> > > > ,Others,90.5,54130
> > > > > ,B,33.4,18095
> > > > > ,CD3+B220-,26.7,14465
> > > > > > ,CD4+T,59,8539
> > > > > > ,CD4-CD8-,16.5,2387
> > > > > > ,CD8+T,22.7,3277
